
#怪兽卡,卡片ID,卡名Name,属性Attributes,等级Lv,战力Atk,羁绊Link,羁绊描述LinkDescription,类型Effect/Judge,效果/判定描述mainDescription
monster,10000001,爆炎牛,火,1,2,阳炎,①：我方场上每存在1只【阳炎】怪兽，这个羁绊的怪兽战力+1。,判定Judge,①：这张卡被翻开时，给与对方3点伤害。
monster,10000002,不恼虎,金,1,2,废料回收,①：这个羁绊的怪兽击败对方怪兽时，可以从我方的弃牌堆选择1只等级低于3的金系怪兽加入手卡。,判定Judge,①：这张卡被翻开时，选择我方场上1只怪兽。这张卡在那只怪兽下面叠放。
monster,10000003,芳香法师,木,2,3,自然再生,①：每次我方回合结束时，我方从卡组抽1张。那之后，选1张手卡回到卡组。,判定Judge,①：这张卡被翻开时，查看我方卡组最上面5张卡，并按自己喜欢的顺序进行排列。那之中有木系怪兽时，选其中1只加入手卡。
monster,10000004,潮涌之心,水,5,6,潮汐波动,①：这个羁绊的水系怪兽为目标的卡的效果发动时，可以将那个效果目标变为场上其他任意1只怪兽。,效果Effect,"①：这张卡在场上存在时，我方场上所有的怪兽可以当作水系怪兽。②：我方回复生命时，回复那个数值2倍的生命，并给与对方那个数值的伤害。"
monster,10000005,失灵舞者 仆从,土,1,2,腐化,①：对方场上所有怪兽的战力-2。,效果Effect,①：我方场上的怪兽被击败时可以发动。这张卡从弃牌堆特殊召唤至主战区域。
monster,10000006,飞赢鱼,水,2,2,潮汐波动,①：这个羁绊的水系怪兽为目标的卡的效果发动时，可以将那个效果目标变为场上其他任意1只怪兽。,效果Effect,①：这张卡在场上存在时，对方场上所有怪兽的战力-1。
monster,10000007,晶磐魔像,金,4,6,废料回收,①：这个羁绊的怪兽击败对方怪兽时，可以从我方的弃牌堆选择1只等级低于3的金系怪兽加入手卡。,效果Effect,①：这张卡在场上/弃牌堆存在时，只在进行卡片的效果处理时也能当作土系怪兽。
monster,10000008,赤勇者,火,2,4,焚炎火,①：这个羁绊的怪兽被击败时，给与对方那只怪兽的原本战力伤害。,判定Judge,①：这张卡被翻开时，选对方场上1只等级3以下的怪兽破坏。那之后，我方受到2点伤害。
monster,10000009,魔女仆,土,2,2,腐化,①：对方场上所有怪兽的战力-2。,判定Judge,①：这张卡被翻开时，从我方的弃牌堆选1只等级3以上的怪兽加入手卡。
monster,10000010,荒川剑豪,水,4,5,生命源泉,①：对方发动怪兽效果时或进行判定效果处理时适用。我方生命回复我方场上所有怪兽数量的数值。,效果Effect,①：这张卡击败对方怪兽时可以发动。我方生命回复那次伤害造成的数值。
