
#怪兽卡,卡片ID,卡名Name,属性Attributes,等级Lv,战力Atk,羁绊Link,羁绊描述LinkDescription,类型Effect/Judge,効果/判定描述mainDescription
monster,10000001,爆炎牛,火,1,2,陽炎,①：自分の場に「陽炎」モンスターが1体存在するごとに、この絆を持つモンスターの戦力が+1される。,判定Judge,①：このカードがめくれたとき、相手に3点のダメージを与える。
monster,10000002,無憂トラ,金,1,2,資源回収,①：この絆を持つモンスターが相手のモンスターを破ったとき、自分の墓地からレベル3未満の「金」系モンスター1体を選んで手札に加えることができる。,判定Judge,①：このカードがめくれたとき、自分のフィールドのモンスター1体を選ぶ。このカードをそのモンスターの下に重ねて置く。
monster,10000003,芳香の魔導士,木,2,3,自然再生,①：自分のターン終了時に、自分はデッキからカードを1枚引く。その後、手札からカードを1枚選んでデッキに戻す。,判定Judge,①：このカードがめくれたとき、自分のデッキの上から5枚を確認し、それらを好きな順序に並べる。その中に「木」系モンスターがあった場合、そのうちの1体を手札に加える。
monster,10000004,潮の心,水,5,6,潮汐の波動,①：この絆を持つ「水」系モンスターを対象としたカードの効果が発動したとき、その効果の対象を場にいる他の任意の1体のモンスターに変更することができる。,効果Effect,①：このカードが場に存在する間、自分の場のすべてのモンスターは「水」系モンスターとして扱う。②：自分がライフを回復したとき、その数値の2倍のライフを回復し、相手にその数値のダメージを与える。
monster,10000005,死霊の舞者,土,1,2,腐化,①：相手フィールド上のすべてのモンスターの戦力が-2される。,効果Effect,①：自分の場のモンスターが破壊されたとき、発動できる。このカードを捨て札からメインバトルゾーンに特殊召喚する。
monster,10000006,羽飛魚,水,2,2,潮汐の波動,①：この絆を持つ「水」系モンスターを対象としたカードの効果が発動したとき、その効果の対象を場にいる他の任意の1体のモンスターに変更することができる。,効果Effect,①：このカードが場に存在する間、相手の場にいるすべてのモンスターの戦力が1下がる。
monster,10000007,晶磐の魔像,金,4,6,資源回収,①：この絆を持つモンスターが相手のモンスターを破ったとき、自分の墓地からレベル3未満の「金」系モンスター1体を選んで手札に加えることができる。,効果Effect,①：このカードが場または捨て札に存在する間、カードの効果の処理を行う場合に限り「土」系モンスターとして扱う。
monster,10000008,赤の勇者,火,2,4,灼焔,①：この絆を持つモンスターが破られたとき、それを破った相手のモンスターに、その相手モンスターの元の戦力分のダメージを与える。,判定Judge,①：このカードがめくれたとき、相手フィールドのレベル3以下のモンスター1体を選択して破壊する。その後、自分は2ポイントのダメージを受ける。
monster,10000009,魔女仆,土,2,2,腐化,①：相手フィールド上のすべてのモンスターの戦力が-2される。,判定Judge,①：このカードが表側表示になったとき、自分の捨て札からレベル3以上のモンスター1体を選び、手札に加える。
monster,10000010,荒川剣豪,水,4,5,生命の源泉,①：相手がモンスターの効果を発動したとき、または判定効果の処理を行うときに適用される。自分のライフは、自分フィールド上のモンスターの数分回復する。,効果Effect,①：このカードが相手のモンスターを倒したときに発動できる。自分はその際に与えられたダメージの数値分だけライフを回復する。
monster,10000011,金羽梟,金,2,3,資源回収,①：この絆を持つモンスターが相手のモンスターを破ったとき、自分の墓地からレベル3未満の「金」系モンスター1体を選んで手札に加えることができる。,効果Effect,①：自分フィールドのモンスター1体を選択し、デッキまたは捨て札から呪術カード1枚を選んでそのモンスターの下に重ねて置く。
